1,ADILABAD,58,537,19,76,36,197,0,0,0,19,76
2,NIZAMABAD,72,755,48,358,9,7,1,8,2,49,360
3,KARIMNAGAR,25,354,13,122,7,9,4,30,17,17,139
4,MEDAK,184,2730,54,919,88,449,25,24,14,79,933
5,RANGAREDDY,145,1092,48,195,31,97,31,97,70,79,265
6,MAHABUBNAGAR,14,452,1,9,12,207,0,0,0,1,9
7,NALGONDA,135,2235,62,399,43,320,24,166,108,86,508
8,WARANGAL,7,76,5,4,2,34,0,0,0,5,4
9,KHAMMAM,160,2186,93,435,49,351,11,165,53,104,487
10,SRIKAKULAM,508,4033,334,1110,64,412,93,999,492,427,1602
11,VIZIANAGARAM,107,1363,49,253,21,84,30,401,87,79,341
12,VISAKHAPATNAM,211,1483,162,503,45,448,4,16,6,166,510
13,EAST
GODAVARI,836,3912,727,1978,67,529,42,124,81,769,2059
14,WEST
GODAVARI,776,3446,745,2233,16,26,2,22,7,747,2240
15,KRISHNA,25,180,4,15,18,48,2,13,8,6,23
16,GUNTUR,759,8025,376,3502,325,1737,33,372,324,409,3826
17,PRAKASAM,168,2040,15,101,140,683,12,232,50,27,152
18,NELLORE,666,6792,542,2363,94,1420,6,97,47,548,2410
19,KADAPA,18,619,10,296,6,21,0,0,0,10,296
20,KURNOOL,53,1619,23,144,28,719,2,17,9,25,153
21,ANANTHAPUR,714,5821,29,90,604,3186,63,467,70,92,160
22,CHITTOOR,45,2173,11,685,29,291,2,10,3,13,688
ALL
DISTRICTS,5686,51925,3370,15790,1734,11277,387,3260,1450,3757,17240
